Round,Multi-Hop (DC-MHRM + Q-Learning),Single-Hop (Baseline Placeholder)
160,749.7258021044772,-2176.93862137848
161,746.3314766575485,-2213.835886147607
162,744.5376329181984,-2250.733150916734
163,742.457417542695,-2287.6304156858605
164,739.2947638294904,-2324.5276804549876
165,737.3911129428411,-2361.4249452241143
166,734.1608613205246,-2398.322209993241
167,732.1927137043764,-2435.219474762368
168,728.8274555978426,-2472.1167395314937
169,726.9868125637967,-2509.014004300621
170,725.1725990733373,-2545.9112690697475
171,722.5959920276564,-2582.808533838874
172,718.9917296301624,-2619.7057986080013
173,716.8328086769407,-2656.603063377128
174,714.6612155054459,-2693.5003281462546
175,712.7145328666323,-2730.3975929153817
176,710.4668079591418,-2767.2948576845083
177,706.8798017348353,-2804.192122453635
178,704.3038239251556,-2841.089387222762
179,700.9424305086839,-2877.9866519918887
180,697.86882906712,-2914.8839167610154
181,695.4888231623218,-2951.7811815301425
182,694.0467891587238,-2988.678446299269
183,691.5712019638858,-3025.575711068396
184,689.0349085247909,-3062.472975837523
185,686.1572325446583,-3099.3702406066495
186,683.1873420102578,-3136.2675053757766
187,680.5863761830997,-3173.1647701449033
188,675.3757854499698,-3210.06203491403
189,672.0226643660103,-3246.959299683157
190,668.871449786468,-3283.8565644522837
191,666.6424046892024,-3320.7538292214103
192,664.1373939721648,-3357.6510939905374
193,661.5151548788713,-3394.548358759663
194,658.7383498063921,-3431.4456235287903
195,656.2437657391856,-3468.342888297917
196,654.070350139347,-3505.2401530670436
197,651.9185675027675,-3542.1374178361707
198,650.1402705995112,-3579.0346826052973
199,645.7220525152687,-3615.931947374424
200,641.7921723081057,-3652.829212143551
201,639.7252995642389,-3689.7264769126778
202,637.6051480590105,-3726.6237416818053
203,633.2573992798443,-3763.5210064509315
204,628.7938412291669,-3800.418271220059
205,626.3440190871823,-3837.315535989185
206,621.9946190654774,-3874.212800758311
207,619.1806207185047,-3911.1100655274386
208,615.7017827108988,-3948.0073302965648
209,613.5376989907011,-3984.9045950656923
210,611.3931765352877,-4021.801859834818
211,609.5048103544997,-4058.699124603946
212,607.7250751911887,-4095.596389373072
213,605.3956070071249,-4132.493654142199
214,603.8651960034446,-4169.390918911326
215,600.7663011443768,-4206.288183680453
216,598.0315801214354,-4243.185448449579
217,595.7906504951955,-4280.082713218707
218,594.3943585082906,-4316.979977987833
219,592.984905981243,-4353.87724275696
220,590.3710012334434,-4390.774507526086
221,586.9596835331815,-4427.671772295214
222,584.558058453491,-4464.56903706434
223,582.7479044010779,-4501.466301833468
224,581.3365103704932,-4538.363566602594
225,579.9965292260338,-4575.260831371721
226,578.3409496134046,-4612.158096140847
227,576.8720743329525,-4649.055360909975
228,573.9447955600401,-4685.9526256791005
229,571.1180141828034,-4722.8498904482285
230,568.0557813810907,-4759.747155217355
231,566.3329827990602,-4796.644419986482
232,563.2862733061397,-4833.541684755608
233,560.3901106514074,-4870.438949524734
234,557.4944198937193,-4907.336214293861
235,555.7890608761472,-4944.2334790629875
236,553.7932874282101,-4981.1307438321155
237,550.5459317540522,-5018.028008601242
238,547.3978899283318,-5054.925273370369
239,544.3070744989709,-5091.822538139495
240,541.2907395745508,-5128.719802908622
241,538.4148897351625,-5165.617067677748
242,535.495205590733,-5202.514332446876
243,532.6364659444496,-5239.4115972160025
244,529.7719743484718,-5276.30886198513
245,526.9380116631111,-5313.206126754256
246,524.1673431528944,-5350.103391523384
247,521.4121342576086,-5387.000656292509
248,518.7063399889357,-5423.897921061637
249,516.0527245860756,-5460.795185830763
250,513.5034352347172,-5497.69245059989
251,510.9796588020372,-5534.589715369017
252,508.2222220898961,-5571.486980138145
253,505.83928747429934,-5608.38424490727
254,503.1535152870701,-5645.281509676398
255,500.52628675523573,-5682.178774445524
256,497.9482020065643,-5719.076039214651
257,495.37503348034,-5755.973303983777
258,492.82220294832524,-5792.870568752904
259,490.2994476999662,-5829.767833522031
260,487.8506126856778,-5866.665098291157
261,485.4502346575248,-5903.562363060285
262,483.08548316817553,-5940.459627829411
263,480.77870111897744,-5977.356892598538
264,478.5302291845416,-6014.254157367664
265,476.33336088913626,-6051.151422136792
266,474.16804422416817,-6088.048686905918
267,472.03125527820237,-6124.945951675046
268,469.8880887522417,-6161.843216444172
269,467.77050693869717,-6198.740481213299
270,465.6381189650508,-6235.637745982425
271,463.61280386377655,-6272.535010751553
272,461.5754925871785,-6309.432275520679
273,459.5693850649412,-6346.329540289807
274,457.59943971420404,-6383.226805058933
275,455.6614531051461,-6420.12406982806
276,453.7412415098861,-6457.021334597186
277,451.84967690993926,-6493.918599366314
278,449.9973677180561,-6530.815864135439
279,448.1779676662914,-6567.713128904567
280,446.3827080920785,-6604.610393673694
281,444.6148854808177,-6641.507658442821
282,442.87938188617596,-6678.404923211947
283,441.16120886486186,-6715.302187981073
284,439.32888849494105,-6752.1994527502
285,437.533971509035,-6789.096717519326
286,435.76227154355934,-6825.993982288454
287,434.0136606785869,-6862.891247057581
288,432.2891098005836,-6899.788511826708
289,430.5865399475786,-6936.685776595834
290,428.91202704718467,-6973.583041364961
291,427.25472994216454,-7010.480306134087
292,425.6268649143003,-7047.377570903215
293,424.0279564820046,-7084.274835672341
294,422.44878930608684,-7121.1721004414685
295,420.88472681793917,-7158.069365210595
296,419.33261937191617,-7194.966629979723
297,417.8049967172391,-7231.863894748848
298,416.29306229194583,-7268.761159517976
299,414.80761644756757,-7305.658424287102
