Round,Total Energy (J)
395,321.72486275127295
396,320.9273418198902
397,320.1375630989486
398,319.35457586367653
399,318.57921304719025
400,317.81048418376395
401,316.9848854403552
402,316.16446386528
403,315.359194763922
404,314.5624572433551
405,313.8276558898343
406,313.0919800328225
407,312.3658128540052
408,311.65184319834054
409,310.8902553596504
410,310.1421912628417
411,309.3922025734527
412,308.6482397267116
413,307.90456080652825
414,307.16604490475675
415,306.43141012793745
416,305.701523469862
417,304.9748390630553
418,304.25200977934117
419,303.5357808008415
420,302.8271659560639
421,302.1182874365056
422,301.41752922863714
423,300.7228772632902
424,300.02516939693845
425,299.3301149780892
426,298.64248988244776
427,297.957527863195
428,297.27566093633357
429,296.59933014173754
430,295.9224532465306
431,294.8015106994344
432,293.6955764517918
433,292.60552397999624
434,291.524115594287
435,290.449075803907
436,289.392912383161
437,288.34072895039736
438,287.30431476250925
439,286.2798843785139
440,285.2684623658972
441,284.2719028131272
442,283.29871196505496
443,282.33031705196294
444,281.3829656426683
445,280.4366933745923
446,279.49297173187665
447,278.5451554581822
448,277.606010007124
449,276.67298041006563
450,275.75413033132617
451,274.83999503415237
452,273.9524341953031
453,273.07756867371984
454,272.2060697221113
455,271.3413712961317
456,270.4873450571414
457,269.6387774523416
458,268.7958011687791
459,267.9579469743101
460,267.1284216487097
461,266.3059388153485
462,265.4980478402898
463,264.69838300232607
464,263.9157664677634
465,263.15872365278295
466,262.41654527035774
467,261.68178420603766
468,260.94864793837183
469,260.2222440082417
470,259.4984611661648
471,258.78169939560405
472,258.0762385167131
473,257.37413426061215
474,256.6791022082451
475,255.98303094395845
476,255.29339869213152
477,254.61394442050175
478,253.94575206769832
479,253.2897077079324
480,252.63668835261907
481,251.98691858762484
482,251.3381744974121
483,250.6915557281914
484,250.04657850759835
485,249.4056163431663
486,248.76780331342076
487,248.13693227242516
488,247.5107355431898
489,246.88354370217326
490,246.26331175459143
491,245.66454772628595
492,245.0774041150332
493,244.4972307921455
494,243.92474524074538
495,243.3583581773281
496,242.79126810849056
497,242.23352871439036
498,241.68900284808603
499,241.15070327820632
500,240.6132391033285
501,240.08329853373402
502,239.54948630351288
503,239.01422551676995
504,238.4910669602968
505,237.96963557859505
506,237.4493825480252
507,236.93235450660285
508,236.41819217931834
509,235.9119809315444
510,235.40785079530224
511,234.90354049656503
512,234.39999577585266
513,233.90156905275884
514,233.40498960676004
515,232.90620893763386
516,232.41823783697498
517,231.92885777590368
518,231.43956023358265
519,230.9559786226013
520,230.47115887482335
521,229.98966055396528
522,229.5183914969231
523,229.05051679722845
524,228.5832780270398
525,228.12240577279658
526,227.6635316547388
527,227.20622367737835
528,226.75186765704296
529,226.2919136011997
530,225.83888238582054
531,225.3923894053413
532,224.94468957068827
533,224.50007729499205
534,224.05493917714682
535,223.61213543426345
536,223.17180545826903
537,222.7415780798274
538,222.3150865413371
539,221.89028950202214
540,221.46366716684102
541,221.0407328879806
542,220.62063870235733
543,220.20008586085567
544,219.78043225107564
545,219.36046295095414
546,218.94326299593533
547,218.52196572894348
548,218.1048311399925
549,217.6905542748827
550,217.27883980749334
551,216.87360959946147
552,216.47459272362104
553,216.07569142462702
554,215.67695842808928
555,215.2896383230049
556,214.90390849012667
557,214.51830044690428
558,214.13897804952268
559,213.75657634872297
560,213.3860861753053
561,213.01606767917906
562,212.6464528618032
563,212.27921062549888
564,211.91224077803207
565,211.55069849574593
566,211.1868508912684
567,210.8231541669415
568,210.46148058794995
569,210.09763273110144
570,209.73599906635715
571,209.37349110142839
572,209.0170927324212
573,208.6588220086026
574,208.2991617311863
575,207.9436339204414
576,207.58542530886155
577,207.231282342493
578,206.87821576065556
579,206.53059872235977
580,206.178828851974
581,205.82866787723094
582,205.47971325740366
583,205.13209892875096
584,204.78384928135145
585,204.4378280934793
586,204.0948739648051
587,203.7512186512701
588,203.40767539948286
589,203.0641726377886
590,202.71845337379116
591,202.37483010163862
592,202.03400245981052
593,201.6946370573766
594,201.35434776710315
595,201.02128430746015
596,200.69210493002578
597,200.36117703181432
598,200.0337137437707
599,199.70466559135562
600,199.37984853020419
601,199.06023347605142
602,198.7418342897889
603,198.4221630868645
604,198.10455040824922
605,197.78706898484464
606,197.46996124331497
607,197.1513283151635
608,196.83284140372322
609,196.5143012305515
610,196.1957164619629
611,195.87557703426316
612,195.55937308629035
613,195.24569991789954
614,194.93435379972232
615,194.624594571111
616,194.31806255522068
617,194.00831344046048
618,193.69960058168326
619,193.39031628827885
620,192.99980029907167
621,192.61131165996915
622,192.2244581314186
623,191.83998025109355
624,191.45862270004574
625,191.07829766911917
626,190.69802118885383
627,190.31898149703935
628,189.94438297171925
629,189.571229217964
630,189.19861551257674
631,188.8264995395352
632,188.4531163974503
633,188.07834848342975
634,187.70732193271505
635,187.3389511565235
636,186.97387185187014
637,186.61007108387187
638,186.2494640329066
639,185.88971524833607
640,185.53313817852083
641,185.17526819296015
642,184.8229558595189
643,184.46543964149816
644,184.11267935638216
645,183.7591225544798
646,183.40669390751913
647,183.05252759093813
648,182.69807003654267
649,182.34394245011785
650,181.99125976027688
651,181.6416624144902
652,181.2940994152632
653,180.95073444996095
654,180.60668192842456
655,180.26528291654637
656,179.92626764927672
657,179.58930681615476
658,179.2571619805497
659,178.92661763932793
660,178.59802097203286
661,178.3248352890987
662,178.05260041373924
663,177.78092064180993
664,177.5073329016431
665,177.23484564644897
666,176.96125449370945
667,176.68991867385537
668,176.36325424906974
669,176.0362853897817
670,175.70950191725294
671,175.37924241032545
672,175.04940003575143
673,174.7232591645773
674,174.400423805761
675,174.07848814285063
676,173.75557946729748
677,173.43454496065786
678,173.11428939033698
679,172.795642386686
680,172.47242765851536
681,172.15423485342848
682,171.83595686096044
683,171.51718299622195
684,171.19772696864672
685,170.87779381688114
686,170.56040570545719
687,170.24464347539595
688,169.9294467816958
689,169.61519699459018
690,169.3006051374466
691,168.98674571511063
692,168.67473573195787
693,168.3629802407213
694,168.05034446193167
