X,Y,Residual Energy (J)
865.5794790118102,725.7181314486678,0.0
484.3157473098721,336.5710586751529,0.0
405.4631136707762,271.72858446728185,0.0
803.2989987818011,464.8828127222106,0.0
475.7320170854377,976.4476438884795,0.3622375461260787
412.99401956940784,358.0233588548354,0.0
558.3434110638206,979.4970089925852,0.15714508111641168
91.91352276150133,578.1706993912813,0.0
883.0506849308284,475.6156271246503,0.0
963.1681268236266,267.25383326972343,0.0
98.27597992055092,971.5267783856822,0.0
344.92757673805727,451.6042887955501,0.0
426.3520615532256,513.8681715692403,0.0
168.44128868011865,652.5630404773865,0.0
679.6863042165169,166.11586197422545,0.0
213.84449681644813,98.64515960725994,0.0
194.55390139102943,905.7011405953156,0.0
490.0832435154142,525.5353273044022,0.0
854.4767362367583,106.08433528403548,0.0
849.3743119496477,52.7754627628646,0.0
990.463916445756,831.2419763695763,0.0
769.2910192410377,986.7938581807392,0.0
923.800915845922,87.25941669492255,0.0
79.17557911107332,617.1061746950718,0.0
955.977000814986,468.2178905494249,0.0
529.4356749354652,987.922003441341,0.11652918046843304
589.4992402064779,188.52300585608884,0.0
547.4168191870712,599.2491181249358,0.0
524.5365922546088,809.7270851247886,0.5040778609621631
671.5155722361266,356.3376823045709,0.0
973.8524113908668,458.3609802437954,0.0
843.4266686679923,233.469348255988,0.0
940.7821754779304,400.37354107110514,0.0
161.92209650244936,954.9388486505468,0.0
65.75693284616845,506.14381174850297,0.0
628.5482277386845,417.1555998315398,0.0
21.58277002757525,74.58220038565555,0.0
517.4411335299301,242.81224065825057,0.0
937.587057906166,200.5331223850532,0.0
807.2276467576118,472.54311934731805,0.0
440.81804753023545,157.0137227951377,0.0
621.9220238826923,540.3818283324939,0.0
351.6423464394405,380.7521582531365,0.0
153.65346384224443,135.10707030620384,0.0
215.28013502091903,70.63619085169748,0.0
700.8264835153504,33.18859460051349,0.0
157.83703843238504,112.9197378298309,0.0
812.568927805182,716.2530633483225,0.0
381.13484564860113,283.10803231006656,0.0
400.03584713745767,674.5250278297281,0.0
867.7200589312051,803.2217697235955,0.0
175.19774816804335,690.4217044398229,0.0
27.57661285038282,940.7254143411344,0.0
