Round,Throughput (bits)
532,2424000
533,2420000
534,2416000
535,2412000
536,2412000
537,2400000
538,2400000
539,2396000
540,2396000
541,2396000
542,2392000
543,2392000
544,2392000
545,2392000
546,2388000
547,2388000
548,2388000
549,2380000
550,2376000
551,2372000
552,2356000
553,2352000
554,2344000
555,2336000
556,2320000
557,2316000
558,2316000
559,2308000
560,2300000
561,2296000
562,2296000
563,2292000
564,2288000
565,2280000
566,2276000
567,2276000
568,2272000
569,2272000
570,2268000
571,2264000
572,2256000
573,2248000
574,2248000
575,2244000
576,2244000
577,2244000
578,2236000
579,2228000
580,2228000
581,2228000
582,2228000
583,2224000
584,2224000
585,2224000
586,2224000
587,2220000
588,2212000
589,2212000
590,2212000
591,2212000
592,2208000
593,2204000
594,2204000
595,2204000
596,2192000
597,2188000
598,2188000
599,2184000
600,2184000
601,2172000
602,2172000
603,2172000
604,2168000
605,2168000
606,2164000
607,2164000
608,2164000
609,2160000
610,2160000
611,2160000
612,2156000
613,2148000
614,2148000
615,2144000
616,2140000
617,2140000
618,2140000
619,2140000
620,2136000
621,2132000
622,2128000
623,2128000
624,2116000
625,2112000
626,2108000
627,2104000
628,2104000
629,2100000
630,2100000
631,2096000
632,2096000
633,2092000
634,2088000
635,2080000
636,2076000
637,2072000
638,2064000
639,2060000
640,2060000
641,2056000
642,2052000
643,2052000
644,2052000
645,2052000
646,2048000
647,2048000
648,2048000
649,2044000
650,2032000
651,2024000
652,2024000
653,2024000
654,2020000
655,2020000
656,2004000
657,2004000
658,1996000
659,1992000
660,1988000
661,1984000
662,1980000
663,1980000
664,1980000
665,1976000
666,1976000
667,1976000
668,1976000
669,1976000
670,1976000
671,1976000
672,1972000
673,1972000
674,1968000
675,1960000
676,1960000
677,1960000
678,1956000
679,1952000
680,1952000
681,1952000
682,1948000
683,1948000
684,1948000
685,1948000
686,1948000
687,1944000
688,1944000
689,1940000
690,1936000
691,1932000
692,1932000
693,1932000
694,1932000
695,1928000
696,1920000
697,1920000
698,1916000
699,1916000
700,1912000
701,1908000
702,1904000
703,1904000
704,1904000
705,1900000
706,1900000
707,1892000
708,1888000
709,1888000
710,1888000
711,1880000
712,1872000
713,1868000
714,1868000
715,1864000
716,1864000
717,1860000
718,1860000
719,1856000
720,1856000
721,1856000
722,1852000
723,1848000
724,1848000
725,1848000
726,1840000
727,1840000
728,1840000
729,1840000
730,1832000
731,1828000
732,1824000
733,1824000
734,1824000
735,1816000
736,1812000
737,1808000
738,1808000
739,1808000
740,1804000
741,1800000
742,1800000
743,1792000
744,1792000
745,1784000
746,1784000
747,1784000
748,1784000
749,1784000
750,1784000
751,1784000
752,1784000
753,1784000
754,1780000
755,1780000
756,1776000
757,1776000
758,1776000
759,1768000
760,1768000
761,1768000
762,1768000
763,1764000
764,1764000
765,1764000
766,1760000
767,1760000
768,1756000
769,1756000
770,1756000
771,1752000
772,1752000
773,1752000
774,1752000
775,1752000
776,1752000
777,1748000
778,1748000
779,1748000
780,1748000
781,1748000
782,1736000
783,1732000
784,1728000
785,1724000
786,1716000
787,1712000
788,1712000
789,1708000
790,1704000
791,1704000
792,1704000
793,1696000
794,1696000
795,1684000
796,1684000
797,1684000
798,1684000
799,1680000
800,1680000
801,1676000
802,1672000
803,1668000
804,1660000
805,1660000
806,1660000
807,1656000
808,1656000
809,1656000
810,1652000
811,1652000
812,1652000
813,1652000
814,1648000
815,1648000
816,1644000
817,1640000
818,1636000
819,1632000
820,1632000
821,1632000
822,1628000
823,1628000
824,1628000
825,1624000
826,1616000
827,1612000
828,1612000
829,1612000
830,1612000
831,1612000
832,1608000
833,1608000
834,1604000
835,1604000
836,1604000
837,1604000
838,1600000
839,1600000
840,1596000
841,1592000
842,1588000
843,1588000
844,1588000
845,1588000
846,1588000
847,1576000
848,1576000
849,1576000
850,1568000
851,1568000
852,1568000
853,1568000
854,1568000
855,1568000
856,1560000
857,1560000
858,1556000
859,1556000
860,1556000
861,1556000
862,1556000
863,1556000
864,1556000
865,1556000
866,1556000
867,1556000
868,1556000
869,1556000
870,1556000
871,1548000
872,1536000
873,1536000
874,1536000
875,1532000
876,1524000
877,1524000
878,1524000
879,1520000
880,1520000
881,1520000
882,1520000
883,1520000
884,1516000
885,1496000
886,1492000
887,1492000
888,1492000
889,1492000
890,1484000
891,1484000
892,1480000
893,1480000
894,1480000
895,1480000
896,1480000
897,1480000
898,1480000
899,1480000
900,1476000
901,1476000
902,1476000
903,1476000
904,1476000
905,1476000
906,1472000
907,1468000
908,1464000
909,1464000
910,1464000
911,1460000
912,1460000
913,1456000
914,1452000
915,1452000
916,1448000
917,1444000
918,1444000
919,1444000
920,1444000
921,1444000
922,1440000
923,1440000
924,1440000
925,1440000
926,1436000
927,1436000
928,1432000
929,1428000
930,1428000
931,1428000
932,1420000
933,1420000
934,1420000
935,1420000
936,1412000
937,1412000
938,1408000
939,1404000
940,1404000
941,1396000
942,1396000
943,1396000
944,1392000
945,1388000
946,1388000
947,1388000
948,1388000
949,1384000
950,1384000
951,1376000
952,1372000
953,1372000
954,1372000
955,1372000
956,1372000
957,1368000
958,1368000
959,1368000
960,1368000
961,1360000
962,1356000
963,1352000
964,1352000
965,1348000
966,1344000
967,1344000
968,1344000
969,1340000
970,1336000
971,1336000
972,1332000
973,1332000
974,1332000
975,1332000
976,1332000
